,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,30,31,0,0,0,0,18,18,18,18,18,18,25,8,6,8,6,8,6,25,15,15,15,15,15,15,0,0,0,0,0,0,
3,32,33,0,0,0,0,18,189,189,189,189,18,25,8,6,18,19,8,6,25,15,189,189,189,189,15,0,0,0,0,0,0,
4,34,35,0,0,0,0,18,189,190,190,189,18,25,8,6,18,19,8,6,25,15,189,190,190,189,15,0,0,0,0,0,0,
5,36,37,0,0,0,0,18,189,190,190,189,18,25,8,6,18,19,8,6,25,15,189,190,190,189,15,0,0,0,0,0,0,
6,38,39,0,0,0,0,18,189,189,189,189,18,19,18,19,18,19,8,6,25,15,189,189,189,189,15,0,0,0,0,0,0,
7,40,41,0,0,0,0,18,18,18,18,18,18,25,8,6,18,19,8,6,25,15,15,15,15,15,15,0,0,0,0,0,0,
8,42,43,0,0,0,0,25,25,25,25,25,25,25,8,6,18,19,8,6,25,25,15,25,25,25,25,0,0,0,0,0,0,
9,44,45,0,0,0,0,6,6,6,6,6,6,6,9,6,18,19,8,7,6,6,16,6,6,6,6,0,0,0,0,0,0,
10,46,47,0,0,0,0,4,4,4,4,4,4,4,4,9,18,19,7,4,4,4,15,4,4,4,4,0,0,0,0,0,0,
11,48,49,0,0,0,0,6,12,12,12,12,12,12,12,12,26,27,16,16,16,16,16,16,16,16,6,0,0,0,0,0,0,
12,0,0,0,0,0,0,4,11,11,11,11,11,11,11,11,28,29,15,15,15,15,15,15,15,15,4,0,0,0,0,0,0,
13,0,0,0,0,0,0,6,6,6,6,12,6,6,6,10,17,17,3,6,6,6,6,6,6,6,6,0,0,0,0,0,0,
14,0,0,0,0,0,0,2,2,2,2,11,2,2,10,5,17,17,1,3,2,2,2,2,2,2,2,0,0,0,0,0,0,
15,0,0,0,0,0,0,25,25,25,25,12,25,25,1,2,17,17,1,2,25,25,25,25,25,25,25,0,0,0,0,0,0,
16,0,0,0,0,0,0,11,11,11,11,11,11,25,1,2,17,17,1,2,25,17,17,17,17,17,17,0,0,0,0,0,0,
17,0,0,0,0,0,0,11,189,189,189,189,11,25,1,2,17,17,21,20,17,17,189,189,189,189,17,0,0,0,0,0,0,
18,0,0,0,0,0,0,11,189,190,190,189,11,25,1,2,17,17,1,2,25,17,189,190,190,189,17,0,0,0,0,0,0,
19,0,0,0,0,0,0,11,189,190,190,189,11,25,1,2,17,17,1,2,25,17,189,190,190,189,17,0,0,0,0,0,0,
20,0,0,0,0,0,0,11,189,189,189,189,11,25,1,2,17,17,1,2,25,17,189,189,189,189,17,0,0,0,0,0,0,
21,0,0,0,0,0,0,11,11,11,11,11,11,25,1,2,13,14,1,2,25,17,17,17,17,17,17,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
